#,model,make,vehicle class(GTA V/GTA Online),type,style,capacity,price,website,type,appears in,variant(s),similar vehicle(s)
218,Apocalypse Dominator,Vapid,Muscle,Civilian car,Custom 2-door muscle car,2,"$1,132,000 (Conversion at Arena Workshop)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],Future Shock Dominator#Nightmare Dominator,Dominator#Pißwasser Dominator#Imperator
219,Future Shock Dominator,Vapid,Muscle,Civilian car,Custom 2-door muscle car,2,"$1,132,000 (Conversion at Arena Workshop)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Dominator#Pißwasser Dominator#Apocalypse Dominator#Nightmare Dominator#Imperator
220,Nightmare Dominator,Vapid,Muscle,Civilian car,Custom 2-door muscle car,2,"$1,132,000 (Conversion at Arena Workshop)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Dominator#Pißwasser Dominator#Apocalypse Dominator#Future Shock Dominator#Imperator
221,Pißwasser Dominator,Vapid,Muscle,Civilian car,2 door racing muscle,2,"• ­$315,000 (For Non Returning Players) (GTA Online)#(Southern San Andreas Super Autos)• ­FREE (For Returning Players)",,VEHICLE,Grand Theft Auto V [EV]#Grand Theft Auto Online [DLC] [EV],0,Dominator#Dominator GTX#Apocalypse Dominator#Future Shock Dominator#Nightmare Dominator#Gauntlet#Redwood Gauntlet#Gauntlet Hellfire
222,Duke O'Death,Imponte,Muscle,Armored Civilian Car,2-door muscle car,2,"$279,000 (Warstock Cache & Carry) (GTA V, only returning players can purchase)#$665,000 (Warstock Cache & Carry) (GTA Online)#FREE (Returning players, Online)",,VEHICLE,Grand Theft Auto V [EV]#Grand Theft Auto Online [DLC] [EV],0,Dukes#Beater Dukes#Bloodring Banger#Weaponized Tampa#Kuruma (Armored)#ZR380
223,Dukes,Imponte,Muscle,Civilian car,2-door muscle car,2,"$62,000 (GTA Online)#FREE (Returning Players, GTA Online)#(Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto: Chinatown Wars#Grand Theft Auto V [EV]#Grand Theft Auto Online [EV],Duke O'Death#Beater Dukes,Clover#Sabre Turbo#Stallion#Tampa#Impaler#Vamos#Gauntlet Classic
224,Beater Dukes,Imponte,Muscle,Civilian car,2-door muscle car,2,"$378,000(Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,DukesDuke O'DeathStallionRuiner3TampaEllieImpalerVamosGauntlet ClassicGauntlet Classic Custom
225,Ellie,Vapid,Muscle,Civilian car,2-door muscle car,2,"$565,000#$423,750 (trade price)#(Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Dominator#Rapid GT Classic#Gauntlet Classic
226,Faction,Willard,Muscle,Civilian car,2-door muscle car,2,"$36,000 (GTA Online) (Benny's Original Motor Works) [EV]",,VEHICLE,Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto Online [DLC] [EV],Faction Custom#Faction Custom Donk,Willard#Marbelle#Majestic#Sabre
227,Faction Custom,Willard,Muscle,Civilian car,2-door muscle car,2,"$335,000 (Conversion at Benny's Original Motor Works)",,VEHICLE,Grand Theft Auto Online [DLC],0,Faction#Faction Custom Donk
228,Faction Custom Donk,Willard,Muscle,Civilian car,Hi-rider,2,"$695,000 (Conversion at Benny's Original Motor Works)",,VEHICLE,Grand Theft Auto Online [DLC],0,Faction#Faction Custom
229,Gauntlet,Bravado,Muscle,Civilian car,2-door muscle car,2,"$32,000 (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,Redwood Gauntlet,Challenger#Polaris V8#Dominator#Dominator GTX#Buffalo#Buffalo S
230,Gauntlet Classic,Bravado,Muscle,Civilian car,2-door muscle car,2,"$615,000#$461,250 (trade price)#(Southern San Andreas Super Autos & Benny's Original Motor Works)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],Gauntlet Classic Custom,Challenger#Stallion#Tampa#Sabre Turbo#Dukes#Ellie#Tulip#Vamos#Beater Dukes
231,Gauntlet Classic Custom,Bravado,Muscle,Civilian car,2-door muscle car,2,"$815,000 (Conversion at Benny's Original Motor Works)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Gauntlet Classic#Phoenix#Dukes#Ruiner 2000
232,Gauntlet Hellfire,Bravado,Muscle,Civilian car,2-door muscle car,2,"$745,000 (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Redwood Gauntlet#Dominator#Dominator GTX#Buffalo#Buffalo S
233,Redwood Gauntlet,Bravado,Muscle,Civilian car,2-door racing muscle car,2,"FREE (For Returning Players)#$230,000 (For Non Returning Players)#(GTA Online)#(Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto V [EV]#Grand Theft Auto Online [DLC] [EV],0,Gauntlet#Gauntlet Hellfire#Dominator#Pißwasser Dominator#Dominator GTX
234,Hermes,Albany (HD Universe),Muscle,Civilian car,2-door Pontoon coupe,2,"$535,000 (Southern San Andreas Super Autos)#FREE[1]",,VEHICLE,Grand Theft Auto: Vice City#Grand Theft Auto: San Andreas#Grand Theft Auto: Vice City Stories#Grand Theft Auto Online [DLC] [EV],Cuban Hermes,Broadway#Clique
235,Hotknife,Vapid (HD Universe),Muscle,Civilian car,2-door hotrod,2,"FREE (Online) (Collector's Edition)#(Legendary Motorsport)$90,000 (Single Player/Returning Players)#(Legendary Motorsport)",,VEHICLE,Grand Theft Auto: San Andreas#Grand Theft Auto V [DLC]#Grand Theft Auto Online [DLC],0,Hustler#Thunder-Rodd#Hotrod
236,Hustler,Vapid (HD Universe),Muscle,Civilian car,2-door coupe,2,"$625,000 (Legendary Motorsport)",,VEHICLE,Grand Theft Auto: San Andreas#Grand Theft Auto Online [DLC] [EV],0,29 Special#Hotrod#Hotknife#Roosevelt#Fränken Stange#Tornado Rat Rod
237,Impaler,Declasse (HD Universe),Muscle,Civilian vehicle,2-door sedan (GTA)#2-door muscle car (GTA Online),2,"$331,835#$249,500 (trade price)#(Arenawar) (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto#Grand Theft Auto Online [DLC] [EV],Apocalypse Impaler#Future Shock Impaler#Nightmare Impaler,Thunderhead#T-Rex#Blade (3D Universe)#Savanna#Peyote#Buccaneer#Chino#Voodoo
238,Apocalypse Impaler,Declasse,Muscle,Civilian car,Custom 2-door muscle car,2,"$1,209,500 (Conversion at Arena Workshop)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],Future Shock Impaler#Nightmare Impaler,Impaler#Imperator
239,Future Shock Impaler,Declasse,Muscle,Civilian car,Custom 2-door muscle car,2,"$1,209,500 (Conversion at Arena Workshop)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Impaler#Apocalypse Impaler#Nightmare Impaler#Imperator
240,Nightmare Impaler,Declasse,Muscle,Civilian car,Custom 2-door muscle car,2,"$1,209,500 (Conversion at Arena Workshop)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Impaler#Apocalypse Impaler#Future Shock Impaler#Imperator
241,Apocalypse Imperator,Vapid,Muscle,Civilian car,Custom 2-door muscle car,2,"$2,284,940#$1,718,000 (trade price)#(Arena War)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],Future Shock Imperator#Nightmare Imperator,Phoenix#Ruiner#Duke O'Death#Ruiner 2000#Weaponized Tampa
242,Future Shock Imperator,Vapid,Muscle,Civilian car,Custom 2-door muscle car,2,"$2,284,940#$1,718,000 (trade price)#(Arena War)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Apocalypse Imperator#Nightmare Imperator#Phoenix#Ruiner#Duke O'Death#Ruiner 2000#Weaponized Tampa
243,Nightmare Imperator,Vapid,Muscle,Civilian car,Custom 2-door muscle car,2,"$2,284,940#$1,718,000 (trade price)#(Arena War)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Apocalypse Imperator#Future Shock Imperator#Phoenix#Ruiner#Duke O'Death#Ruiner 2000#Weaponized Tampa
244,Lurcher,Albany,Muscle,Civilian car,4-door hearse,2,"$650,000 (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Romero Hearse#Buccaneer#Hearse
245,Manana Custom,Albany,Muscle,Civilian car,2-door coupé/muscle car,2,"$925,000 (Conversion at Benny's Original Motor Works)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Manana#Buccaneer#Buccaneer Custom#Chino#Chino Custom
246,Moonbeam,Declasse (HD Universe),Muscle,Civilian van,4-door minivan,4,"$32,500 (GTA Online) (Benny's Original Motor Works)",,VEHICLE,Grand Theft Auto III#Grand Theft Auto: Vice City#Grand Theft Auto: San Andreas#Grand Theft Auto: Liberty City Stories#Grand Theft Auto: Vice City Stories#Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto Online [DLC] [EV],Moonbeam Custom,Burrito#Minivan
247,Moonbeam Custom,Declasse,Muscle,Civilian van,4-door minivan,4,"$370,000 (Conversion at Benny's Original Motor Works)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Moonbeam#Minivan Custom
248,Nightshade,Imponte,Muscle,Civilian vehicle,2-door muscle car,2,"$585,000 (Legendary Motorsport)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Ruiner#Phoenix#Buffalo (3D Universe)#Dukes
249,Peyote Gasser,Vapid,Muscle,Civilian car,Custom hotrod/gasser,2,"$805,000 (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Peyote#Peyote Custom#Blade#Hotknife#Hustler#Fränken Stange#Tornado Rat Rod
250,Phoenix,Imponte (HD Universe),Muscle,Civilian car,2-door muscle car,2,0,,VEHICLE,Grand Theft Auto: Vice City#Grand Theft Auto: San Andreas#Grand Theft Auto: Vice City Stories#Grand Theft Auto V#Grand Theft Auto Online,0,Ruiner#Buffalo (GTA San Andreas)#Nightshade#Apocalypse Imperator#Future Shock Imperator#Nightmare Imperator#Gauntlet Classic#Gauntlet Classic Custom
251,Picador,Cheval (HD Universe),Muscle,Civilian car,Coupé utility pickup truck,2,"$9,000 (GTA Online) (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto: San Andreas#Grand Theft Auto V#Grand Theft Auto Online,Marshall,Yosemite (GTA Online)#Buccaneer (GTA San Andreas)
252,Rat-Loader,Bravado,Muscle,Civilian truck,2-door pickup truck,2,"$6,000 (Online)#(Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,Rat-Truck,Bison#Duneloader#Walton
253,Rat-Truck,Bravado,Muscle,Civilian truck,2-door pickup truck,2,"$37,500#$28,125 (trade price; Arena War only) (GTA Online) (Southern San Andreas Super Autos & Arena War)",,VEHICLE,Grand Theft Auto V [DLC]#Grand Theft Auto Online [DLC],0,Rat-Loader#Duneloader#Slamvan#Slamvan Custom#Lost Slamvan#Bison#Walton
254,Ruiner,Imponte,Muscle,Civilian car,Muscle car,2,"$10,000 (GTA Online)#(Southern San Andreas Super Autos)[1]",,VEHICLE,Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto V#Grand Theft Auto Online,Ruiner 2000,Stallion#Phoenix#Sabre Turbo#Vigero#Tampa#Dominator#Gauntlet
255,Ruiner,Imponte,Muscle,Civilian car,Muscle car,2,"$10,000 (GTA Online)#(Southern San Andreas Super Autos)[1]",,VEHICLE,Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto V#Grand Theft Auto Online,Ruiner 2000,Stallion#Phoenix#Sabre Turbo#Vigero#Tampa#Dominator#Gauntlet
256,Ruiner 2000,Imponte,Muscle,Civilian car,Two-door modified muscle car,2,"$5,745,600#$4,320,000 (SecuroServ trade price)#(Warstock Cache & Carry)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Ruiner#Vigilante#Deluxo#Stromberg#Gauntlet Classic Custom
257,Sabre Turbo,Declasse (HD Universe),Muscle,Civilian car,Muscle car,2,"$700 (Auto merchant)#(Chinatown Wars)#$15,000 (Online)#(Benny's Original Motor Works [EV])",,VEHICLE,Grand Theft Auto: Vice City#Grand Theft Auto: Vice City Stories#Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto: Chinatown Wars#Grand Theft Auto V#Grand Theft Auto Online,Sabre Turbo Custom,Sabre#Cholo Sabre#Vigero#Tampa#Tulip
258,Sabre Turbo Custom,Declasse,Muscle,Civilian car,2-door lowrider-style muscle car,2,"$490,000 (Conversion at Benny's Original Motor Works)",,VEHICLE,Grand Theft Auto Online [DLC],0,Sabre Turbo#Sabre
259,Slamvan,Vapid (HD Universe),Muscle,Civilian vehicle,2-door pickup truck,2,"• ­$15,200 (GTA San Andreas) (Exports and Imports)#• ­$49,500 (GTA V, Enhanced Version and GTA Online) (Southern San Andreas Super Autos)#• ­$49,500 (GTA Online) (Benny's Original Motor Works [Enhanced version only])• ­$49,500 (GTA Online) (Arena War [Enhanced version only])• ­$37,125 (trade price; Arena War only)",,VEHICLE,Grand Theft Auto: San Andreas#Grand Theft Auto V [DLC]#Grand Theft Auto Online [DLC],Lost Slamvan#Slamvan Custom#Apocalypse Slamvan#Future Shock Slamvan#Nightmare Slamvan#Slamtruck#Towtruck,Bobcat#Rat-Loader#Rat-Truck
260,Lost Slamvan,Vapid,Muscle,Civilian vehicle,4-door van,4,0,,VEHICLE,The Lost and Damned#The Ballad of Gay Tony [MO]#Grand Theft Auto Online [DLC],0,Slamvan#Slamvan Custom#Tow Truck#Rat-Truck
261,Slamvan Custom,Vapid,Muscle,Civilian pick-up,Custom pick-up truck,2,"$415,000 (Conversion at Benny's Original Motor Works)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Slamvan#Lost Slamvan
262,Stallion,"Classique (GTA IV, GTA CW)#Vapid (GTA CW, DS only)#Declasse (GTA V)",Muscle,Civilian car,2-door convertible muscle car,2,"$15,200 (GTA SA)#(Exports and Imports)#$71,000 (GTA Online)#FREE (Returning Players, GTA Online)#(Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto#Grand Theft Auto III#Grand Theft Auto: Vice City#Grand Theft Auto: San Andreas#Grand Theft Auto: Liberty City Stories#Grand Theft Auto: Vice City Stories#Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto: Chinatown Wars#Grand Theft Auto V [EV]#Grand Theft Auto Online [EV],Burger Shot Stallion#Diablo Stallion,Tulip#Clover
263,Burger Shot Stallion,Declasse,Muscle,Civilian car,2-door racing muscle car,2,"FREE (For Returning Players) $277,000 (For Non Returning Players) (GTA Online)#(Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto V [NG]#Grand Theft Auto Online [DLC][EV],0,Stallion#Clover
264,Tampa,Declasse (HD Universe),Muscle,Civilian car,2-door muscle car,2,"$375,000 (GTA Online)#(Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto: San Andreas#The Lost and Damned [MO]#The Ballad of Gay Tony#Grand Theft Auto Online [DLC] [EV],Drift Tampa#Weaponized Tampa,Sabre GT#Vigero
265,Weaponized Tampa,Declasse,Muscle,Civilian car,2-door muscle car,2,"• ­$2,108,050#• ­$1,585,000 (Trade price)#(Warstock Cache & Carry)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Tampa#Duke O'Death#Ruiner 2000#Drift Tampa#Speedo Custom
266,Tulip,Declasse,Muscle,Civilian car,4-door hardtop,4,"$718,000 (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Stallion#Picador#Sabre Turbo
267,Vamos,Declasse,Muscle,Civilian car,2-door coupe,2,"$596,000 (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Buccaneer#Impaler#Blade
268,Vigero,Declasse (HD Universe),Muscle,Civilian car,2-door muscle car,2,"$21,000 (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto V#Grand Theft Auto Online,0,Tampa#Sabre Turbo
269,Virgo,Albany,Muscle,Civilian car,2-door vintage car,2,"$195,000 (Legendary Motorsport)",,VEHICLE,Grand Theft Auto: Vice City#Grand Theft Auto: San Andreas#Grand Theft Auto: Vice City Stories#Grand Theft Auto V [DLC]#Grand Theft Auto Online [DLC],0,Esperanto#Manana#Manana Custom#Chino#Chino Custom
270,Virgo Classic,Dundreary,Muscle,Civilian car,2-door vintage car,2,"$165,000 (GTA Online) (Benny's Original Motor Works) (enhanced version only)",,VEHICLE,Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto Online [DLC] [EV],Virgo Classic Custom,Buccaneer#Emperor#Manana#Esperanto#Remington
271,Virgo Classic Custom,Dundreary,Muscle,Civilian car,Two-door lowrider,2,"$240,000 (Conversion at Benny's Original Motor Works)",,VEHICLE,Grand Theft Auto Online [DLC],0,Virgo Classic
272,Voodoo,Declasse (HD Universe),Muscle,Civilian car,2-door lowrider,2,"$5,500 (GTA Online) (Benny's Original Motor Works) [NG]",,VEHICLE,Grand Theft Auto: Vice City#Grand Theft Auto: San Andreas#Grand Theft Auto: Vice City Stories#Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto: Chinatown Wars#Grand Theft Auto V#Grand Theft Auto Online,Voodoo Custom,Tornado#Savanna#Impaler
273,Voodoo Custom,Declasse,Muscle,Civilian car,2-door lowrider,2,"$420,000 (Conversion at Benny's Original Motor Works)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Voodoo
274,Yosemite,Declasse (HD Universe),Muscle,Civilian truck,2-door pickup truck,2,"$485,000 (Southern San Andreas Super Autos & Benny's Original Motor Works)",,VEHICLE,Grand Theft Auto: San Andreas#Grand Theft Auto Online [DLC] [EV],Drift Yosemite#Yosemite Rancher,Picador#Slamvan Custom#Bobcat#Monster Truck#Rancher
275,Drift Yosemite,Declasse,Muscle,Civilian car,2-door custom muscle car,2,"$1,308,000#$981,000 (trade price)#(Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Yosemite#Yosemite Rancher#Drift Tampa
276,Cognoscenti Cabrio,Enus,Coupes,Civilian car,2-door convertible,2,"$185,000 (Legendary Motorsport)",,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Cognoscenti#Cognoscenti 55#Huntley S#Paragon R
277,Exemplar,Dewbauchee,Coupes,Civilian car,4-door coupé,4,"$205,000 (GTA V & GTA Online )#(Legendary Motorsport)",,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Rapid GT
278,F620,Ocelot,Coupes,Civilian car,2-door sports car,2,"$80,000 (Online)#(Southern San Andreas Super Autos)",,VEHICLE,The Ballad of Gay Tony#Grand Theft Auto V#Grand Theft Auto Online,0,Super GT#Jackal#Neo
279,Felon,Lampadati,Coupes,Civilian car,4-door coupé,4,"$100,000 (Story Mode)#$90,000 (Online)#(Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,Felon GT,Furore GT#Jugular (GTA Online)
280,Felon GT,Lampadati,Coupes,Civilian car,2-door convertible,2,"$95,000 (GTA Online)#(Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Felon
281,Jackal,Ocelot,Coupes,Civilian car,4-door saloon/sedan,4,"$60,000 (Online) (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,F620#Raiden#Jugular (GTA: Online)
282,Oracle,Übermacht (HD Universe),Coupes,Civilian car,4-door sedan,4,"$80,000 (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Oracle XS#Zion#Sentinel#Vincent#Revolter
283,Oracle XS,Übermacht (HD Universe),Coupes,Civilian car,Four-door sedan,4,"$82,000 (GTA Online) (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto V#Grand Theft Auto Online,0,Oracle#Zion#Sentinel#Vincent
284,Sentinel,Übermacht (HD Universe),Coupes,Civilian car,4-door sedan (3D Universe)#2-door coupe (GTA IV)#2-door convertible (GTA V),4,"$28,000 (GTA San Andreas)#(Exports and Imports)#$95,000 (GTA Online)#(Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto III#Grand Theft Auto: Vice City#Grand Theft Auto: San Andreas#Grand Theft Auto Advance#Grand Theft Auto: Liberty City Stories#Grand Theft Auto: Vice City Stories#Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto V#Grand Theft Auto Online,Sentinel XS,Zion#Oracle#Oracle XS
285,Sentinel XS,Übermacht (HD Universe),Coupes,Civilian car,4-door sedan (3D Universe)#2-door coupe (GTA V),4,"$60,000 (GTA Online) (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto: Vice City#Grand Theft Auto: Vice City Stories#Grand Theft Auto V#Grand Theft Auto Online,0,Sentinel#Zion#Oracle#Mafia Sentinel
286,Windsor,Enus (HD Universe),Coupes,Civilian car,2-door vintage convertible (3D Universe)#2-door luxury coupé (HD Universe),2,"$28,000 (GTA San Andreas, Exports and Imports)#$845,000 (GTA V and GTA Online) (Legendary Motorsport)",,VEHICLE,Grand Theft Auto: San Andreas#Grand Theft Auto V [DLC]#Grand Theft Auto Online [DLC],Windsor Drop,Jug Swinger#Jugular E#JB 700#Super Diamond#Super Drop Diamond#Paragon R
287,Windsor Drop,Enus,Coupes,Civilian car,4-door luxury convertible,4,"$900,000 (Legendary Motorsport)",,VEHICLE,Grand Theft Auto Online [DLC],Windsor,Jug Swinger#Jugular E#JB 700#Super Diamond#Super Drop Diamond
288,Zion,Übermacht,Coupes,Civilian car,2-door coupé,2,"$50,000 (Story Mode)#$60,000 (GTA Online) (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,Zion Cabrio,Sentinel#Sentinel XS#Oracle
289,Zion Cabrio,Übermacht,Coupes,Civilian car,2-door convertible,2,"$65,000 (GTA Online)#(Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Zion#Sentinel#Oracle
290,Asbo,Maxwell,Compacts,Civilian car,3-door hatchback,2,"$408,000#$306,000 (trade price)#(Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Blista Compact#Dilettante#Blista#Issi#Panto#Issi Classic#Blista Kanjo
291,Blista,Dinka (HD Universe),Compacts,Civilian car,4-door minivan (3D Universe)#3-door hatchback (HD Universe),4,0,,VEHICLE,Grand Theft Auto III#Grand Theft Auto: Liberty City Stories#Grand Theft Auto V#Grand Theft Auto Online,0,Minivan#Blista Compact#Perennial#Asbo
292,Blista Kanjo,Dinka,Compacts,Civilian car,3-door hatchback,2,"$580,000#$435,000 (trade price)#(Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Sugoi#Club
293,Brioso 300,Grotti,Compacts,Civilian car,3-door hatchback,2,"FREE (For all players from 22 Dec to 30 Dec 2020)#$610,000#$457,000 (trade price) (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Fat#Issi Classic#Weevil#Brit#Myni
294,Brioso R/A,Grotti,Compacts,Civilian car,2-door compact car,2,"$155,000 (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Fat#Issi Sport
295,Club,BF (HD Universe),Compacts,Civilian car,2-door tuner hatchback,2,"$28,000 (Exports and Imports)#$1,280,000 (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto: San Andreas#Grand Theft Auto Online [DLC] [EV],0,Cossie#Flash#Rhapsody#Asbo#Blista Kanjo#Retinue Mk II
296,Dilettante,Karin,Compacts,Civilian car,4-door hatchback,4,"$39,999 (GTA IV)#(Value, but no actual in-game payment)#$25,000 (GTA V)#(Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto V#Grand Theft Auto Online,0,Surge#Perennial (HD Universe)
297,Dilettante,Karin,Compacts,Civilian car,4-door hatchback,4,"$39,999 (GTA IV)#(Value, but no actual in-game payment)#$25,000 (GTA V)#(Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto V#Grand Theft Auto Online,0,Surge#Perennial (HD Universe)
298,Apocalypse Issi,Weeny,Compacts,Civilian car,Custom 2-door compact,2,"$1,089,000 (Conversion at Arena Workshop)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],Future Shock Issi#Nightmare Issi,Issi Classic
299,Future Shock Issi,Weeny,Compacts,Civilian car,Custom 2-door compact,2,"$1,089,000 (Conversion at Arena Workshop)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Issi Classic#Apocalypse Issi#Nightmare Issi
300,Nightmare Issi,Weeny,Compacts,Civilian car,Custom 2-door compact,2,"$1,089,000 (Conversion at Arena Workshop)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Issi Classic#Apocalypse Issi#Future Shock Issi
301,Issi,Weeny,Compacts,Civilian car,2-door convertible,2,"$18,000 (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Myni#Brit#Panto#Blista#Asbo
302,Issi Classic,Weeny,Compacts,Civilian car,2-door compact,2,"$360,000#$270,000 (trade price; Arena War only) (Southern San Andreas Super Autos & Arena War)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],Apocalypse Issi#Future Shock Issi#Nightmare Issi,Brit#Myni#Brioso 300#Weevil#Issi Sport
303,Panto,Benefactor (HD Universe),Compacts,Civilian car,3-door hatchback,2,"$85,000 (GTA Online) (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto 2#Grand Theft Auto III [CUT]#Grand Theft Auto V [DLC]#Grand Theft Auto Online [DLC],0,0
304,Prairie,Bollokan,Compacts,Civilian car,Sport compact coupé,2,"$25,000 (GTA Online)#(Southern San Andreas Super Autos)[1]",,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Kuruma (GTA III)#Blista#Blista Compact#Blista Kanjo#Asbo
305,Rhapsody,Declasse,Compacts,Civilian car,2-door hatchback,2,"$140,000 (GTA Online) (Southern San Andreas Super Autos)",,VEHICLE,The Lost and Damned#Grand Theft Auto V [DLC]#Grand Theft Auto Online [DLC],0,0
306,Weevil,BF,Compacts,Civillian car,2-door compact,2,"$870,000#$652,000 (trade price)#(Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Bug#Injection#Issi Classic#Brioso 300#Club
307,Baller,Gallivanter,SUVs,Civilian SUV,4-door full-size SUV,4,"$90,000 (Second Generation) (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,Baller LE#Baller LE (Armored)#Baller LE LWB#Baller LE LWB (Armored),Huntley Sport#Huntley
308,Baller,Gallivanter,SUVs,Civilian SUV,4-door full-size SUV,4,"$90,000 (Second Generation) (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,Baller LE#Baller LE (Armored)#Baller LE LWB#Baller LE LWB (Armored),Huntley Sport#Huntley
309,Baller LE,Gallivanter,SUVs,Civilian SUV,4-door full size SUV,4,"$149,000 (Legendary Motorsport)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],Baller LE (Armored)#Baller LE LWB#Baller LE LWB (Armored),Baller#Huntley Sport#Huntley
